Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# - 1.62675 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'a thina turn on the lights'
# - processed in 4.003 seconds.
# - WER = 0.4
# File (10_A_2.wav):
# - 1.686625 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'menarva turn on the lights'
# - processed in 1.738 seconds.
# - WER = 0.2
# File (10_A_3.wav):
# - 1.7465 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'artimis turn on the lights'
# - processed in 1.775 seconds.
# - WER = 0.2
# File (10_A_4.wav):
# - 1.7165625 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'fraar turn on the lights'
# - processed in 1.748 seconds.
# - WER = 0.2
# File (10_A_5.wav):
# - 1.4271875 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'james thern on the lights'
# - processed in 1.459 seconds.
# - WER = 0.2
# File (10_A_6.wav):
# - 1.686625 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'cojuder turn on the lights'
# - processed in 1.74 seconds.
# - WER = 0.2
# File (10_B_1.wav):
# - 1.9294375 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mute unnoute'
# - processed in 1.921 seconds.
# - WER = 0.5
# File (10_B_2.wav):
# - 1.686375 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop aboard'
# - processed in 1.698 seconds.
# - WER = 0.5
# File (10_B_3.wav):
# - 1.7165625 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'harse resumed'
# - processed in 1.728 seconds.
# - WER = 1.0
# File (10_B_4.wav):
# - 1.5195625 seconds long.
# - actual    text: 'next back'
# - processed text: 'next back'
# - processed in 1.512 seconds.
# - WER = 0.0
# File (10_B_5.wav):
# - 0.6589375 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 0.679 seconds.
# - WER = 0.0
# File (10_B_6.wav):
# - 1.0979375 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'fron bllum down'
# - processed in 1.112 seconds.
# - WER = 0.75
# File (10_B_7.wav):
# - 1.39725 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'set wallume to sixh'
# - processed in 1.419 seconds.
# - WER = 0.5
# File (10_C_1.wav):
# - 1.6666875 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'placs on music by on jovi'
# - processed in 1.687 seconds.
# - WER = 0.5
# File (10_C_2.wav):
# - 2.025875 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play y aidies rock playlist now'
# - processed in 2.069 seconds.
# - WER = 0.333
# File (10_C_3.wav):
# - 1.5569375 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what song is currently playing'
# - processed in 1.571 seconds.
# - WER = 0.0
# File (10_C_4.wav):
# - 2.0458125 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please at the sung to my favourites'
# - processed in 2.083 seconds.
# - WER = 0.429
# File (10_C_5.wav):
# - 1.8263125 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do of the music skol'
# - processed in 1.838 seconds.
# - WER = 0.25
# File (10_D_1.wav):
# - 2.3151875 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'saitden a larn for a five a m ceese'
# - processed in 2.365 seconds.
# - WER = 1.0
# File (10_D_2.wav):
# - 2.3543125 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time is left on my pizza timer'
# - processed in 2.417 seconds.
# - WER = 0.0
